name	run	timing
benchmark/imdb/01a.benchmark	1	0.102741
benchmark/imdb/01a.benchmark	2	0.102472
benchmark/imdb/01a.benchmark	3	0.098546
benchmark/imdb/01a.benchmark	4	0.102939
benchmark/imdb/01a.benchmark	5	0.117746
benchmark/imdb/01b.benchmark	1	0.075900
benchmark/imdb/01b.benchmark	2	0.078637
benchmark/imdb/01b.benchmark	3	0.077520
benchmark/imdb/01b.benchmark	4	0.077777
benchmark/imdb/01b.benchmark	5	0.076575
benchmark/imdb/01c.benchmark	1	0.075539
benchmark/imdb/01c.benchmark	2	0.077421
benchmark/imdb/01c.benchmark	3	0.078706
benchmark/imdb/01c.benchmark	4	0.080037
benchmark/imdb/01c.benchmark	5	0.079414
benchmark/imdb/01d.benchmark	1	0.093767
benchmark/imdb/01d.benchmark	2	0.112067
benchmark/imdb/01d.benchmark	3	0.073497
benchmark/imdb/01d.benchmark	4	0.071614
benchmark/imdb/01d.benchmark	5	0.074836
benchmark/imdb/02a.benchmark	1	0.098986
benchmark/imdb/02a.benchmark	2	0.120358
benchmark/imdb/02a.benchmark	3	0.095824
benchmark/imdb/02a.benchmark	4	0.122061
benchmark/imdb/02a.benchmark	5	0.097345
benchmark/imdb/02b.benchmark	1	0.088635
benchmark/imdb/02b.benchmark	2	0.091095
benchmark/imdb/02b.benchmark	3	0.089225
benchmark/imdb/02b.benchmark	4	0.104197
benchmark/imdb/02b.benchmark	5	0.095649
benchmark/imdb/02c.benchmark	1	0.032370
benchmark/imdb/02c.benchmark	2	0.032020
benchmark/imdb/02c.benchmark	3	0.052952
benchmark/imdb/02c.benchmark	4	0.032378
benchmark/imdb/02c.benchmark	5	0.043536
benchmark/imdb/02d.benchmark	1	0.135226
benchmark/imdb/02d.benchmark	2	0.116953
benchmark/imdb/02d.benchmark	3	0.117246
benchmark/imdb/02d.benchmark	4	0.118302
benchmark/imdb/02d.benchmark	5	0.140698
benchmark/imdb/03a.benchmark	1	0.286467
benchmark/imdb/03a.benchmark	2	0.289259
benchmark/imdb/03a.benchmark	3	0.288191
benchmark/imdb/03a.benchmark	4	0.292679
benchmark/imdb/03a.benchmark	5	0.290102
benchmark/imdb/03b.benchmark	1	0.179739
benchmark/imdb/03b.benchmark	2	0.181067
benchmark/imdb/03b.benchmark	3	0.183403
benchmark/imdb/03b.benchmark	4	0.185860
benchmark/imdb/03b.benchmark	5	0.183661
benchmark/imdb/03c.benchmark	1	0.325573
benchmark/imdb/03c.benchmark	2	0.331339
benchmark/imdb/03c.benchmark	3	0.330509
benchmark/imdb/03c.benchmark	4	0.346816
benchmark/imdb/03c.benchmark	5	0.339246
benchmark/imdb/04a.benchmark	1	0.203465
benchmark/imdb/04a.benchmark	2	0.204448
benchmark/imdb/04a.benchmark	3	0.212037
benchmark/imdb/04a.benchmark	4	0.215533
benchmark/imdb/04a.benchmark	5	0.208439
benchmark/imdb/04b.benchmark	1	0.090370
benchmark/imdb/04b.benchmark	2	0.090953
benchmark/imdb/04b.benchmark	3	0.092716
benchmark/imdb/04b.benchmark	4	0.089193
benchmark/imdb/04b.benchmark	5	0.094998
benchmark/imdb/04c.benchmark	1	0.298842
benchmark/imdb/04c.benchmark	2	0.295843
benchmark/imdb/04c.benchmark	3	0.295307
benchmark/imdb/04c.benchmark	4	0.297564
benchmark/imdb/04c.benchmark	5	0.297501
benchmark/imdb/05a.benchmark	1	0.127903
benchmark/imdb/05a.benchmark	2	0.125671
benchmark/imdb/05a.benchmark	3	0.154319
benchmark/imdb/05a.benchmark	4	0.183250
benchmark/imdb/05a.benchmark	5	0.124597
benchmark/imdb/05b.benchmark	1	0.094123
benchmark/imdb/05b.benchmark	2	0.099064
benchmark/imdb/05b.benchmark	3	0.101536
benchmark/imdb/05b.benchmark	4	0.101286
benchmark/imdb/05b.benchmark	5	0.102474
benchmark/imdb/05c.benchmark	1	0.355409
benchmark/imdb/05c.benchmark	2	0.354355
benchmark/imdb/05c.benchmark	3	0.363549
benchmark/imdb/05c.benchmark	4	0.362462
benchmark/imdb/05c.benchmark	5	0.365745
benchmark/imdb/06a.benchmark	1	0.238997
benchmark/imdb/06a.benchmark	2	0.240508
benchmark/imdb/06a.benchmark	3	0.233658
benchmark/imdb/06a.benchmark	4	0.242905
benchmark/imdb/06a.benchmark	5	0.235497
benchmark/imdb/06b.benchmark	1	0.231508
benchmark/imdb/06b.benchmark	2	0.233504
benchmark/imdb/06b.benchmark	3	0.234145
benchmark/imdb/06b.benchmark	4	0.239386
benchmark/imdb/06b.benchmark	5	0.232995
benchmark/imdb/06c.benchmark	1	0.191748
benchmark/imdb/06c.benchmark	2	0.208803
benchmark/imdb/06c.benchmark	3	0.192314
benchmark/imdb/06c.benchmark	4	0.206766
benchmark/imdb/06c.benchmark	5	0.194039
benchmark/imdb/06d.benchmark	1	0.822559
benchmark/imdb/06d.benchmark	2	0.822293
benchmark/imdb/06d.benchmark	3	0.830590
benchmark/imdb/06d.benchmark	4	0.832476
benchmark/imdb/06d.benchmark	5	0.829657
benchmark/imdb/06e.benchmark	1	0.253295
benchmark/imdb/06e.benchmark	2	0.255367
benchmark/imdb/06e.benchmark	3	0.252388
benchmark/imdb/06e.benchmark	4	0.249427
benchmark/imdb/06e.benchmark	5	0.247033
benchmark/imdb/06f.benchmark	1	0.928543
benchmark/imdb/06f.benchmark	2	0.914757
benchmark/imdb/06f.benchmark	3	0.917755
benchmark/imdb/06f.benchmark	4	0.930675
benchmark/imdb/06f.benchmark	5	0.925770
benchmark/imdb/07a.benchmark	1	0.263913
benchmark/imdb/07a.benchmark	2	0.271427
benchmark/imdb/07a.benchmark	3	0.271912
benchmark/imdb/07a.benchmark	4	0.271670
benchmark/imdb/07a.benchmark	5	0.267314
benchmark/imdb/07b.benchmark	1	0.223483
benchmark/imdb/07b.benchmark	2	0.229641
benchmark/imdb/07b.benchmark	3	0.230392
benchmark/imdb/07b.benchmark	4	0.229014
benchmark/imdb/07b.benchmark	5	0.235050
benchmark/imdb/07c.benchmark	1	1.221301
benchmark/imdb/07c.benchmark	2	1.180046
benchmark/imdb/07c.benchmark	3	1.209965
benchmark/imdb/07c.benchmark	4	1.177439
benchmark/imdb/07c.benchmark	5	1.166709
benchmark/imdb/08a.benchmark	1	0.382656
benchmark/imdb/08a.benchmark	2	0.388927
benchmark/imdb/08a.benchmark	3	0.381850
benchmark/imdb/08a.benchmark	4	0.387643
benchmark/imdb/08a.benchmark	5	0.389414
benchmark/imdb/08b.benchmark	1	0.387820
benchmark/imdb/08b.benchmark	2	0.387000
benchmark/imdb/08b.benchmark	3	0.396696
benchmark/imdb/08b.benchmark	4	0.402670
benchmark/imdb/08b.benchmark	5	0.401043
benchmark/imdb/08c.benchmark	1	5.322900
benchmark/imdb/08c.benchmark	2	5.350327
benchmark/imdb/08c.benchmark	3	5.410948
benchmark/imdb/08c.benchmark	4	5.340077
benchmark/imdb/08c.benchmark	5	5.330293
benchmark/imdb/08d.benchmark	1	4.817474
benchmark/imdb/08d.benchmark	2	4.930725
benchmark/imdb/08d.benchmark	3	4.886042
benchmark/imdb/08d.benchmark	4	4.840271
benchmark/imdb/08d.benchmark	5	4.861271
benchmark/imdb/09a.benchmark	1	0.596857
benchmark/imdb/09a.benchmark	2	0.604578
benchmark/imdb/09a.benchmark	3	0.612482
benchmark/imdb/09a.benchmark	4	0.623212
benchmark/imdb/09a.benchmark	5	0.625406
benchmark/imdb/09b.benchmark	1	0.488702
benchmark/imdb/09b.benchmark	2	0.479615
benchmark/imdb/09b.benchmark	3	0.493858
benchmark/imdb/09b.benchmark	4	0.490281
benchmark/imdb/09b.benchmark	5	0.495238
benchmark/imdb/09c.benchmark	1	0.630161
benchmark/imdb/09c.benchmark	2	0.642556
benchmark/imdb/09c.benchmark	3	0.643282
benchmark/imdb/09c.benchmark	4	0.639386
benchmark/imdb/09c.benchmark	5	0.646859
benchmark/imdb/09d.benchmark	1	1.300482
benchmark/imdb/09d.benchmark	2	1.300500
benchmark/imdb/09d.benchmark	3	1.317856
benchmark/imdb/09d.benchmark	4	1.328616
benchmark/imdb/09d.benchmark	5	1.350621
benchmark/imdb/10a.benchmark	1	0.444726
benchmark/imdb/10a.benchmark	2	0.454616
benchmark/imdb/10a.benchmark	3	0.447411
benchmark/imdb/10a.benchmark	4	0.444727
benchmark/imdb/10a.benchmark	5	0.456003
benchmark/imdb/10b.benchmark	1	0.413375
benchmark/imdb/10b.benchmark	2	0.416247
benchmark/imdb/10b.benchmark	3	0.418923
benchmark/imdb/10b.benchmark	4	0.412711
benchmark/imdb/10b.benchmark	5	0.412518
benchmark/imdb/10c.benchmark	1	0.638961
benchmark/imdb/10c.benchmark	2	0.649818
benchmark/imdb/10c.benchmark	3	0.642932
benchmark/imdb/10c.benchmark	4	0.641730
benchmark/imdb/10c.benchmark	5	0.638348
benchmark/imdb/11a.benchmark	1	0.138899
benchmark/imdb/11a.benchmark	2	0.150840
benchmark/imdb/11a.benchmark	3	0.136122
benchmark/imdb/11a.benchmark	4	0.146563
benchmark/imdb/11a.benchmark	5	0.140540
benchmark/imdb/11b.benchmark	1	0.124977
benchmark/imdb/11b.benchmark	2	0.130893
benchmark/imdb/11b.benchmark	3	0.127975
benchmark/imdb/11b.benchmark	4	0.121945
benchmark/imdb/11b.benchmark	5	0.126028
benchmark/imdb/11c.benchmark	1	0.304712
benchmark/imdb/11c.benchmark	2	0.366616
benchmark/imdb/11c.benchmark	3	0.283222
benchmark/imdb/11c.benchmark	4	0.268481
benchmark/imdb/11c.benchmark	5	0.270498
benchmark/imdb/11d.benchmark	1	0.857812
benchmark/imdb/11d.benchmark	2	0.823040
benchmark/imdb/11d.benchmark	3	0.846030
benchmark/imdb/11d.benchmark	4	1.097868
benchmark/imdb/11d.benchmark	5	1.082607
benchmark/imdb/12a.benchmark	1	0.286471
benchmark/imdb/12a.benchmark	2	0.297187
benchmark/imdb/12a.benchmark	3	0.293229
benchmark/imdb/12a.benchmark	4	0.300016
benchmark/imdb/12a.benchmark	5	0.295085
benchmark/imdb/12b.benchmark	1	0.211158
benchmark/imdb/12b.benchmark	2	0.214565
benchmark/imdb/12b.benchmark	3	0.212443
benchmark/imdb/12b.benchmark	4	0.211603
benchmark/imdb/12b.benchmark	5	0.210881
benchmark/imdb/12c.benchmark	1	0.417423
benchmark/imdb/12c.benchmark	2	0.407011
benchmark/imdb/12c.benchmark	3	0.418881
benchmark/imdb/12c.benchmark	4	0.431755
benchmark/imdb/12c.benchmark	5	0.407244
benchmark/imdb/13a.benchmark	1	0.326787
benchmark/imdb/13a.benchmark	2	0.331331
benchmark/imdb/13a.benchmark	3	0.328241
benchmark/imdb/13a.benchmark	4	0.331897
benchmark/imdb/13a.benchmark	5	0.326872
