name	run	timing
benchmark/tpch/sf1/q01.benchmark	1	0.091657
benchmark/tpch/sf1/q01.benchmark	2	0.094127
benchmark/tpch/sf1/q01.benchmark	3	0.095155
benchmark/tpch/sf1/q01.benchmark	4	0.093689
benchmark/tpch/sf1/q01.benchmark	5	0.095791
benchmark/tpch/sf1/q02.benchmark	1	0.020730
benchmark/tpch/sf1/q02.benchmark	2	0.019345
benchmark/tpch/sf1/q02.benchmark	3	0.023072
benchmark/tpch/sf1/q02.benchmark	4	0.021715
benchmark/tpch/sf1/q02.benchmark	5	0.018982
benchmark/tpch/sf1/q03.benchmark	1	0.042569
benchmark/tpch/sf1/q03.benchmark	2	0.041532
benchmark/tpch/sf1/q03.benchmark	3	0.049483
benchmark/tpch/sf1/q03.benchmark	4	0.045944
benchmark/tpch/sf1/q03.benchmark	5	0.044465
benchmark/tpch/sf1/q04.benchmark	1	0.112855
benchmark/tpch/sf1/q04.benchmark	2	0.114978
benchmark/tpch/sf1/q04.benchmark	3	0.122566
benchmark/tpch/sf1/q04.benchmark	4	0.111995
benchmark/tpch/sf1/q04.benchmark	5	0.115211
benchmark/tpch/sf1/q05.benchmark	1	0.037009
benchmark/tpch/sf1/q05.benchmark	2	0.036717
benchmark/tpch/sf1/q05.benchmark	3	0.036278
benchmark/tpch/sf1/q05.benchmark	4	0.037492
benchmark/tpch/sf1/q05.benchmark	5	0.037162
benchmark/tpch/sf1/q06.benchmark	1	0.016437
benchmark/tpch/sf1/q06.benchmark	2	0.016407
benchmark/tpch/sf1/q06.benchmark	3	0.017241
benchmark/tpch/sf1/q06.benchmark	4	0.017076
benchmark/tpch/sf1/q06.benchmark	5	0.017021
benchmark/tpch/sf1/q07.benchmark	1	0.130427
benchmark/tpch/sf1/q07.benchmark	2	0.130035
benchmark/tpch/sf1/q07.benchmark	3	0.132817
benchmark/tpch/sf1/q07.benchmark	4	0.143640
benchmark/tpch/sf1/q07.benchmark	5	0.129213
benchmark/tpch/sf1/q08.benchmark	1	0.034459
benchmark/tpch/sf1/q08.benchmark	2	0.036641
benchmark/tpch/sf1/q08.benchmark	3	0.036994
benchmark/tpch/sf1/q08.benchmark	4	0.035280
benchmark/tpch/sf1/q08.benchmark	5	0.034126
benchmark/tpch/sf1/q09.benchmark	1	0.152937
benchmark/tpch/sf1/q09.benchmark	2	0.160987
benchmark/tpch/sf1/q09.benchmark	3	0.147467
benchmark/tpch/sf1/q09.benchmark	4	0.149859
benchmark/tpch/sf1/q09.benchmark	5	0.148118
benchmark/tpch/sf1/q10.benchmark	1	0.179435
benchmark/tpch/sf1/q10.benchmark	2	0.141313
benchmark/tpch/sf1/q10.benchmark	3	0.136105
benchmark/tpch/sf1/q10.benchmark	4	0.125858
benchmark/tpch/sf1/q10.benchmark	5	0.133728
benchmark/tpch/sf1/q11.benchmark	1	0.009306
benchmark/tpch/sf1/q11.benchmark	2	0.009116
benchmark/tpch/sf1/q11.benchmark	3	0.009990
benchmark/tpch/sf1/q11.benchmark	4	0.007837
benchmark/tpch/sf1/q11.benchmark	5	0.008544
benchmark/tpch/sf1/q12.benchmark	1	0.030220
benchmark/tpch/sf1/q12.benchmark	2	0.032824
benchmark/tpch/sf1/q12.benchmark	3	0.033335
benchmark/tpch/sf1/q12.benchmark	4	0.032048
benchmark/tpch/sf1/q12.benchmark	5	0.031886
benchmark/tpch/sf1/q13.benchmark	1	0.133014
benchmark/tpch/sf1/q13.benchmark	2	0.134566
benchmark/tpch/sf1/q13.benchmark	3	0.136590
benchmark/tpch/sf1/q13.benchmark	4	0.130470
benchmark/tpch/sf1/q13.benchmark	5	0.138138
benchmark/tpch/sf1/q14.benchmark	1	0.029684
benchmark/tpch/sf1/q14.benchmark	2	0.028606
benchmark/tpch/sf1/q14.benchmark	3	0.044591
benchmark/tpch/sf1/q14.benchmark	4	0.028583
benchmark/tpch/sf1/q14.benchmark	5	0.027481
benchmark/tpch/sf1/q15.benchmark	1	0.054947
benchmark/tpch/sf1/q15.benchmark	2	0.059263
benchmark/tpch/sf1/q15.benchmark	3	0.056164
benchmark/tpch/sf1/q15.benchmark	4	0.055980
benchmark/tpch/sf1/q15.benchmark	5	0.057040
benchmark/tpch/sf1/q16.benchmark	1	0.044052
